# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_scf            17:(.)p_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       8.283317249071e+13       1.101608524293e-25       5.595211405307e-09       1.480364259612e+22       1.375807360459e+04       1.660937664332e-10       1.139624884029e+18       3.230539654341e-09       1.295377210063e+44       1.431945679501e+33       8.015040875725e+33       2.980724236004e+43       9.935747453346e+42       5.980287073793e+43       2.191478341137e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -5.861792509729e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       2.125300587671e-06       5.309502279863e+00 
       8.225737089444e+13       1.117085022451e-25       5.635229172185e-09       1.459854760088e+22       1.375807360459e+04       1.672564227983e-10       1.131702963286e+18       3.253153431922e-09       1.259732604377e+44       1.402290951758e+33       7.849054233621e+33       2.898704312212e+43       9.662347707373e+42       5.815728848607e+43       2.131175920552e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -6.116908494049e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       2.204015424252e-06       5.119877198439e+00 
       8.168557189121e+13       1.132778949931e-25       5.673427949660e-09       1.439629406556e+22       1.375807360459e+04       1.684272177578e-10       1.123836110513e+18       3.275925505945e-09       1.225068823353e+44       1.373250355466e+33       7.686505074343e+33       2.818941312364e+43       9.396471041213e+42       5.655698735390e+43       2.072532828219e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -6.375602439880e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       2.282730260832e-06       4.943329708838e+00 
       8.111774765760e+13       1.148693361399e-25       5.713445716538e-09       1.419684262354e+22       1.375807360459e+04       1.696062082822e-10       1.116023942912e+18       3.298856984486e-09       1.191358877859e+44       1.344811172335e+33       7.527322209703e+33       2.741373133188e+43       9.137910443959e+42       5.500072135095e+43       2.015503404776e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -6.637975185855e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       2.361445097412e-06       4.778552051876e+00 
       8.055387056366e+13       1.164831354433e-25       5.753463483416e-09       1.400015445362e+22       1.375807360459e+04       1.707934517401e-10       1.108266080350e+18       3.321948983378e-09       1.158576521413e+44       1.316960947461e+33       7.371435925778e+33       2.665939380292e+43       8.886464600973e+42       5.348727877239e+43       1.960043247253e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -6.904129354305e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       2.440159933993e-06       4.624405211493e+00 
       7.999391317146e+13       1.181196070132e-25       5.793481250294e-09       1.380619127244e+22       1.375807360459e+04       1.719890059023e-10       1.100562145332e+18       3.345202626261e-09       1.126696229756e+44       1.289687483877e+33       7.218777952378e+33       2.592581321145e+43       8.641937737150e+42       5.201548125562e+43       1.906109174512e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -7.174169393809e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       2.518874770573e-06       4.479892548634e+00 
       7.943784823382e+13       1.197790693721e-25       5.835318006575e-09       1.361491532701e+22       1.375807360459e+04       1.731929289436e-10       1.092911762992e+18       3.368619044645e-09       1.095693180972e+44       1.262978837205e+33       7.069281433148e+33       2.521241839345e+43       8.404139464484e+42       5.058418286275e+43       1.853659193617e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -7.448201622579e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       2.597589607153e-06       4.344138228978e+00 
       7.888564869297e+13       1.214618455177e-25       5.875335773453e-09       1.342628938741e+22       1.375807360459e+04       1.744052794462e-10       1.085314561064e+18       3.392199377957e-09       1.065543236164e+44       1.236823310429e+33       6.922880896286e+33       2.451865390150e+43       8.172884633834e+42       4.919226918843e+43       1.802652467145e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -7.726334272698e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       2.676304443734e-06       4.216369457538e+00 
       7.833728767921e+13       1.231682629854e-25       5.917172529735e-09       1.324027673950e+22       1.375807360459e+04       1.756261164023e-10       1.077770169875e+18       3.415944773602e-09       1.036222920661e+44       1.211209448771e+33       6.779512225873e+33       2.384397957229e+43       7.947993190765e+42       4.783865649214e+43       1.753049281385e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -8.008677535229e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       2.755019280314e-06       4.095901758751e+00 
       7.779273850965e+13       1.248986539120e-25       5.957190296613e-09       1.305684117779e+22       1.375807360459e+04       1.768554992172e-10       1.070278222319e+18       3.439856387017e-09       1.007709405738e+44       1.186126034674e+33       6.639112633790e+33       2.318787010608e+43       7.729290035360e+42       4.652229085442e+43       1.704811015421e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -8.295343606206e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       2.833734116894e-06       3.982126709897e+00 
       7.725197468684e+13       1.266533551008e-25       5.999027052894e-09       1.287594699842e+22       1.375807360459e+04       1.780934877117e-10       1.062838353842e+18       3.463935381726e-09       9.799804908440e+43       1.161562082891e+33       6.501620632225e+33       2.254981465767e+43       7.516604885889e+42       4.524214735627e+43       1.657900111060e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -8.586446733547e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       2.912448953475e-06       3.874501663683e+00 
       7.671496989756e+13       1.284327080866e-25       6.040863809176e-09       1.269755899214e+22       1.375807360459e+04       1.793401421257e-10       1.055450202425e+18       3.488182929398e-09       9.530145863146e+43       1.137506835673e+33       6.366976006737e+33       2.192931643868e+43       7.309772146226e+42       4.399722928115e+43       1.612280043588e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -8.882103264888e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       2.991163790055e-06       3.772541093586e+00 
       7.618169801148e+13       1.302370592025e-25       6.084519554861e-09       1.252164243753e+22       1.375807360459e+04       1.805955231205e-10       1.048113408565e+18       3.512600209904e-09       9.267906965640e+43       1.113949758054e+33       6.235119789894e+33       2.132589233074e+43       7.108630776915e+42       4.278656733896e+43       1.567915293335e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -9.182431696364e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       3.069878626635e-06       3.675809270674e+00 
       7.565213307992e+13       1.320667596473e-25       6.126356311142e-09       1.234816309423e+22       1.375807360459e+04       1.818596917824e-10       1.040827615258e+18       3.537188411373e-09       9.012884037369e+43       1.090880533246e+33       6.105994235441e+33       2.073907250936e+43       6.913024169787e+42       4.160921891134e+43       1.524771318016e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -9.487552722374e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       3.148593463215e-06       3.583914038907e+00 
       7.512624933457e+13       1.339221655535e-25       6.170012056828e-09       1.217708719621e+22       1.375807360459e+04       1.831327096249e-10       1.033592467982e+18       3.561948730252e-09       8.764878518120e+43       1.068289058111e+33       5.979542793014e+33       2.016840007808e+43       6.722800026028e+42       4.046426731772e+43       1.482814525840e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -9.797589286323e-34       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       3.227308299796e-06       3.496501501373e+00 
       7.460402118627e+13       1.358036380574e-25       6.211848813109e-09       1.200838144529e+22       1.375807360459e+04       1.844146385922e-10       1.026407614679e+18       3.586882371364e-09       8.523697311413e+43       1.046165438743e+33       5.855710083373e+33       1.961343071278e+43       6.537810237592e+42       3.935082110166e+43       1.442012249355e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -1.011266663239e-33       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       3.306023136376e-06       3.413251465626e+00 
       7.408542322370e+13       1.377115433685e-25       6.255504558794e-09       1.184201300459e+22       1.375807360459e+04       1.857055410624e-10       1.019272705739e+18       3.611990547963e-09       8.289152634162e+43       1.024499986133e+33       5.734441874147e+33       1.907373231568e+43       6.357910771894e+42       3.826801333671e+43       1.402332720008e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -1.043291235833e-33       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       3.384737972956e-06       3.333873524565e+00 
       7.357043021222e+13       1.396462528412e-25       6.299160304479e-09       1.167794949217e+22       1.375807360459e+04       1.870054798498e-10       1.012187393981e+18       3.637274481799e-09       8.061061870468e+43       1.003283211924e+33       5.615685056086e+33       1.854888467897e+43       6.182961559656e+42       3.721500095146e+43       1.363745043417e+44       2.648171197840e+02      -2.648171197840e+02       5.394005440487e-01      -1.075845646932e-33       7.944513593520e+02       5.891364908705e+03       3.276617890196e+04       3.463452809537e-06       3.258103671734e+00 
